ZipCode,Latitude,Longitude,County_Name,Population_2010,Description
12108,43.6676,-74.4569,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12139,43.4481,-74.5263,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12164,43.5042,-74.3667,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12190,43.4012,-74.2886,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12812,43.8553,-74.4435,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12842,43.7606,-74.2766,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12847,43.9477,-74.4662,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
12864,43.7284,-74.3057,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
13353,43.3915,-74.74,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
13360,43.748,-74.7846,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
13436,43.8131,-74.6574,Hamilton County,4836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
15536,39.92,-78.2258,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
16689,40.1276,-78.0628,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
16691,40.101,-78.1403,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17212,39.8127,-78.0645,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17215,40.0753,-77.9017,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17223,40.078,-77.9532,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17228,39.9761,-78.0841,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17229,40.0441,-78.0148,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17233,39.9443,-77.9901,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17238,39.8713,-78.1439,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17267,39.7698,-78.1986,Fulton County,14845,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17731,41.4109,-76.5819,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17758,41.3426,-76.5852,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
17768,41.5536,-76.7455,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18614,41.5232,-76.4021,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18616,41.5269,-76.6008,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18619,41.4482,-76.6979,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18626,41.4329,-76.5169,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18628,41.418,-76.3002,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
18632,41.4792,-76.3831,Sullivan County,6428,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22709,38.3256,-78.2366,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22711,38.4512,-78.2817,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22715,38.4114,-78.1698,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22719,38.5095,-78.2638,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22722,38.4535,-78.2522,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22723,38.3549,-78.3828,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22725,38.4285,-78.2678,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22727,38.37,-78.2976,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22730,38.3674,-78.1628,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22731,38.3366,-78.2573,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22732,38.3146,-78.1899,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22735,38.4604,-78.1572,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22738,38.3215,-78.3042,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22743,38.4972,-78.3229,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22748,38.3557,-78.3475,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22948,38.3572,-78.1229,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
22989,38.2912,-78.1225,Madison County,13308,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23023,37.7801,-76.9402,King and Queen County,6945,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23027,37.6479,-78.1389,Cumberland County,10052,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23031,37.5984,-76.4476,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23032,37.675,-76.6629,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23040,37.5019,-78.2581,Cumberland County,10052,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23043,37.5549,-76.3468,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23070,37.5512,-76.3844,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23071,37.5594,-76.4769,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
23079,37.73,-76.689,Middlesex County,10959,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area                                                                                                               "
